viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2135023,58393,1356,2135023,12354
-1,-1,-1,-1,-1
151713,512,84,151713,59
14927,22,5,14927,2
-1,-1,-1,-1,-1
740,5,0,740,0
2510725,42578,757,2510725,2420
25742,63,14,25742,2
449397,1314,262,449397,125
1420052,33262,695,1420052,4872
23085,21,19,23085,7
21547455,108740,7462,21547455,1666
810512,19957,1155,810512,4170
9012,12,4,9012,3
3990,4,2,3990,1
9394,7,4,9394,0
-1,-1,-1,-1,-1
11666,19,12,11666,1
-1,-1,-1,-1,-1
203641,672,133,203641,66
1697,2,2,1697,1
85867,149,47,85867,3
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
568,2,1,568,0
12671,19,7,12671,2
10916,31,7,10916,2
-1,-1,-1,-1,-1
22602,65,12,22602,4
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
801369,1365,231,801369,86
11346,31,1,11346,3
539224,1188,345,539224,150
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1422,10,4,1422,2
2927903,6392,1101,2927903,500
3643477,7640,1437,3643477,504
22109542,72656,9819,22109542,8843
824635,822,91,824635,169
80458,76,51,80458,5
17933814,101055,9820,17933814,712
103091,163,61,103091,26
-1,-1,-1,-1,-1
5551698,90551,2775,5551698,28225
2135023,58393,1356,2135023,12354
151713,512,84,151713,59
14927,22,5,14927,2
740,5,0,740,0
25742,63,14,25742,2
-1,-1,-1,-1,-1
2510725,42578,757,2510725,2420
449397,1314,262,449397,125
1420052,33262,695,1420052,4872
23085,21,19,23085,7
21547455,108740,7462,21547455,1666
9012,12,4,9012,3
3990,4,2,3990,1
810512,19957,1155,810512,4170
9394,7,4,9394,0
-1,-1,-1,-1,-1
11666,19,12,11666,1
-1,-1,-1,-1,-1
203641,672,133,203641,66
1697,2,2,1697,1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
85867,149,47,85867,3
568,2,1,568,0
12671,19,7,12671,2
10916,31,7,10916,2
-1,-1,-1,-1,-1
22602,65,12,22602,4
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
801369,1365,231,801369,86
11346,31,1,11346,3
539224,1188,345,539224,150
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
1422,10,4,1422,2
2927903,6392,1101,2927903,500
3643477,7640,1437,3643477,504
90736,4285,81,90736,210
1754237,71807,2644,1754237,3483
240998,2506,93,240998,568
349,6,2,349,2
2793146,20289,2031,2793146,68
82948124,190159,54574,82948124,221
3205924,18332,2150,3205924,79
144919713,739793,55811,144919713,43308
5932,50,3,5932,2
-1,-1,-1,-1,-1
114030209,591500,44318,114030209,29185
21291529,41630,10659,21291529,177
29824633,60680,18633,29824633,180
205632823,430086,96615,205632823,11383
668179,4402,218,668179,41
-1,-1,-1,-1,-1
80555,1412,72,80555,110
24384,88,21,24384,19
228451269,1054310,161248,228451269,49846
-1,-1,-1,-1,-1
36715,290,32,36715,36
710595,19297,465,710595,1582
9032443,71661,6850,9032443,2058
1953668,36427,1591,1953668,1482
1529622,9054,773,1529622,237
1279,58,2,1279,0
137129,6020,148,137129,1876
19716989,129436,5978,19716989,5847
-1,-1,-1,-1,-1
12460287,107586,13253,12460287,33044
11579595,30409,7232,11579595,328
1614507,14490,641,1614507,57
7102,86,7,7102,4
7725754,49958,5797,7725754,272
4834738,21581,2501,4834738,178
20916842,35014,4873,20916842,2375
903021,23062,1134,903021,1816
110057,4226,260,110057,413
894675,6422,404,894675,58
4252180,31139,4618,4252180,172
279374,3907,116,279374,688
5730,212,13,5730,34
22014,1724,39,22014,156
1697473,13025,1069,1697473,128
-1,-1,-1,-1,-1
15109646,63131,5956,15109646,269
1032942,8375,1008,1032942,83
116238,1848,71,116238,86
2586,22,1,2586,3
9080686,28091,4442,9080686,105
6311,96,8,6311,3
13746,468,24,13746,161
12505299,56211,9172,12505299,122
27286,84,32,27286,25
692645,7342,218,692645,354
1010,29,2,1010,2
15359,89,6,15359,4
63154,1537,67,63154,30
-1,-1,-1,-1,-1
2586,22,1,2586,3
4858,238,30,4858,111
265343,3413,294,265343,1048
43939,1094,30,43939,139
